n_obs,sigma_true,replications,scenario_id,maturity_days,fraction_fixed,moneyness,mean_posterior_sigma,mean_posterior_sigma_sd,mean_pi_minus_pm,mean_abs_pi_minus_pm,median_abs_pi_minus_pm,p95_abs_pi_minus_pm,p99_abs_pi_minus_pm,max_abs_pi_minus_pm,mean_taylor_gap,taylor_mae,taylor_rmse,taylor_corr,taylor_slope_through_origin
126,0.1,5000,21,21,0.7272727272727273,0.6,0.10004541064070593,0.00634530328978281,-8.400036222155904e-15,2.0163781755400124e-14,1.4210854715202004e-14,4.973799150320701e-14,6.394884621840902e-14,9.947598300641403e-14,0.0,2.0163781755400124e-14,2.5634940298943842e-14,,
126,0.1,5000,22,21,0.7272727272727273,0.75,0.10004541064070593,0.00634530328978281,-3.9733549783704805e-15,1.064250909621478e-14,1.0658141036401503e-14,2.4868995751603507e-14,3.200995024599329e-14,4.618527782440651e-14,0.0,1.064250909621478e-14,1.33372108085376e-14,,
126,0.1,5000,23,21,0.7272727272727273,0.9,0.10004541064070593,0.00634530328978281,-2.100009055538976e-15,5.040945438850031e-15,3.552713678800501e-15,1.2434497875801753e-14,1.5987211554602254e-14,2.4868995751603507e-14,0.0,5.040945438850031e-15,6.4087350747359605e-15,,
126,0.1,5000,24,21,0.7272727272727273,1.0,0.10004541064070593,0.00634530328978281,-5.79077884728052e-08,5.79077884728052e-08,5.733670616070441e-08,7.703138581033332e-08,8.556719555602444e-08,1.1191346355188259e-07,-5.760612071904966e-08,3.016677537555281e-10,3.1137701337158314e-10,0.999993303336613,1.0052686609424624
126,0.1,5000,25,21,0.7272727272727273,1.1,0.10004541064070593,0.00634530328978281,5.540908947781123e-30,5.540908947781123e-30,1.6892573113655533e-34,6.981935981703158e-31,1.2159280604476843e-29,1.1892142387877845e-26,2.320717273022647e-42,5.540908947778802e-30,1.9922826795296049e-28,0.9495964816636784,1469460093620.0266
126,0.1,5000,26,21,0.7272727272727273,1.25,0.10004541064070593,0.00634530328978281,9.504030521866029e-59,9.504030521866029e-59,4.5002423336823435e-66,3.074454111381813e-61,1.581831478274078e-59,2.829160643923896e-55,1.2787412398769384e-158,9.504030521866029e-59,4.4078606567570946e-57,0.90903737513746,4.4460452491340835e+99
126,0.1,5000,27,21,0.7272727272727273,1.5,0.10004541064070593,0.00634530328978281,5.959164198588216e-81,5.959164198588216e-81,4.419542908697274e-89,6.4126883318180575e-84,4.471116700789538e-82,1.8746643754488556e-77,0.0,5.959164198588216e-81,2.880633266505506e-79,,
126,0.1,5000,28,21,0.9090909090909091,0.6,0.10004541064070593,0.00634530328978281,-8.400036222155904e-15,2.0163781755400124e-14,1.4210854715202004e-14,4.973799150320701e-14,6.394884621840902e-14,9.947598300641403e-14,0.0,2.0163781755400124e-14,2.5634940298943842e-14,,
126,0.1,5000,29,21,0.9090909090909091,0.75,0.10004541064070593,0.00634530328978281,-3.9733549783704805e-15,1.064250909621478e-14,1.0658141036401503e-14,2.4868995751603507e-14,3.200995024599329e-14,4.618527782440651e-14,0.0,1.064250909621478e-14,1.33372108085376e-14,,
126,0.1,5000,30,21,0.9090909090909091,0.9,0.10004541064070593,0.00634530328978281,-2.100009055538976e-15,5.040945438850031e-15,3.552713678800501e-15,1.2434497875801753e-14,1.5987211554602254e-14,2.4868995751603507e-14,0.0,5.040945438850031e-15,6.4087350747359605e-15,,
126,0.1,5000,31,21,0.9090909090909091,1.0,0.10004541064070593,0.00634530328978281,-2.7192720768798305e-08,2.7192720768798305e-08,2.6924536482286765e-08,3.617283865567367e-08,4.0181026858682194e-08,5.255263695047585e-08,-2.7051070864628982e-08,1.416499041693195e-10,1.4620189674407337e-10,0.9999933047298467,1.0052681001083552
126,0.1,5000,32,21,0.9090909090909091,1.1,0.10004541064070593,0.00634530328978281,4.7436484516694555e-57,4.7436484516694555e-57,2.9304758602230076e-64,1.7939794432223362e-59,8.834822202697994e-58,1.3997145012155486e-53,5.620823578334078e-146,4.7436484516694555e-57,2.1855163225747343e-55,0.9080502946333412,5.021633397158374e+88
126,0.1,5000,33,21,0.9090909090909091,1.25,0.10004541064070593,0.00634530328978281,6.960643633996228e-85,6.960643633996228e-85,4.3155155198617126e-93,6.728636821066096e-88,4.8302658138798176e-86,2.200239091233197e-81,0.0,6.960643633996228e-85,3.3768110508409024e-83,,
126,0.1,5000,34,21,0.9090909090909091,1.5,0.10004541064070593,0.00634530328978281,1.4768004397669644e-102,1.4768004397669644e-102,4.984827325521358e-111,9.904245488620953e-106,7.849613782592584e-104,4.740959991017362e-99,0.0,1.4768004397669644e-102,7.247515640681847e-101,,
